Model,Accuracy,Precision,Recall,F1-Score,ROC AUC
XGBoost,0.8432114106650819,0.8461867656498662,0.8432114106650819,0.8421450153454448,0.9180340317884118
LogisticRegression,0.6905829596412556,0.709151451802159,0.6905829596412556,0.6768695504131049,0.6912962360911094
GradientBoosting,0.8183046085688044,0.8205270621665974,0.8183046085688044,0.8171411224298952,0.8869798524071578
MLP,0.79399211194554,0.7963316058854902,0.79399211194554,0.7924691784992173,0.8694589098529641
