Model,Accuracy,Precision,Recall,F1-Score,ROC AUC
XGBoost,0.8539629369495921,0.8348463385682087,0.8539629369495921,0.8324213358808953,0.8376954599593216
LogisticRegression,0.8411583553946729,0.8369353786621834,0.8411583553946729,0.7857757902227392,0.8145388468827699
GradientBoosting,0.8557458533686315,0.8375935012392411,0.8557458533686315,0.836384482997803,0.8367645738823662
MLP,0.8549354368145227,0.836552551296923,0.8549354368145227,0.836075077415643,0.8345990372862019
